RETENTION RATES/GRADUATION RATES,,,,,,,,,,
PERCENT RETAINED BY ENTERING CLASS THROUGH GRADUATION,,,,,,,,,,
,,,,,,,,,,
Entering Year,,   Class Size,% Return 2d Year,% Return 3d Year,% Return 4th Year,% Return 5th Year,,% Grad         4 Years    or Less,% Grad    5 Years,% Grad    6 Years
,,,,,,,,,,
Fall 1985,,488,84.0%,73.0%,71.5%,2.0%,,67.8%,70.0%,70.2%
Fall 1986,,464,83.4%,69.9%,67.6%,7.5%,,61.6%,64.2%,64.3%
Fall 1987,,504,85.7%,77.3%,75.6%,3.9%,,69.0%,70.9%,71.6%
Fall 1988,,479,84.3%,71.6%,68.6%,3.9%,,62.0%,63.7%,65.3%
Fall 1989,,488,85.6%,72.5%,68.4%,5.3%,,58.1%,63.1%,63.5%
Fall 1990,,417,80.0%,65.0%,61.0%,5.3%,,55.4%,57.1%,58.7%
Fall 1991,,548,82.6%,72.2%,68.2%,4.5%,,62.8%,67.7%,68.0%
Fall 1992,,508,81.6%,68.3%,63.5%,4.0%,,56.3%,62.0%,63.0%
Fall 1993,,489,77.3%,65.0%,62.0%,2.8%,,54.0%,58.0%,65.6%
Fall 1994,,430,83.3%,69.0%,65.0%,2.7%,,61.6%,68.6%,71.4%
Fall 1995,,475,84.0%,73.0%,71.3%,4.4%,,70.5%,71.8%,72.1%
Fall 1996,,434,82.0%,72.1%,70.2%,2.7%,,70.2%,70.3%,70.3%
Fall 1997,,475,80.2%,70.7%,69.9%,3.2%,,68.5%,69.7%,69.8%
Fall 1998,,449,84.0%,74.0%,72.2%,3.8%,,67.3%,69.9%,70.4%
Fall 1999,,411,84.0%,75.7%,74.5%,7.5%,,66.9%,71.5%,72.0%
Fall 2000,,405,85.1%,79.6%,76.5%,8.9%,,66.7%,72.6%,74.1%
Fall 2001,,451,81.6%,75.2%,73.4%,12.6%,,61.0%,70.3%,72.0%
Fall 2002,,525,85.3%,75.8%,73.0%,5.7%,,65.0%,71.2%,73.0%
Fall 2003,,487,86.2%,77.4%,74.7%,6.9%,,63.0%,73.9%,74.0%
Fall 2004,,559,85.7%,78.9%,74.8%,7.2%,,64.1%,72.4%,73.1%
Fall 2005,,571,86.9%,79.2%,77.2%,5.6%,,65.3%,75.5%,75.8%
Fall 2006,,480,84.0%,76.0%,73.8%,4.4%,,61.9%,70.2%,71.7%
Fall 2007,,500,85.6%,76.0%,73.6%,4.6%,,64.5%,72.9%,73.9%
Fall 2008,,485,84.7%,75.7%,73.0%,6.4%,,61.4%,71.0%,71.5%
Fall 2009,,434,79.0%,72.1%,68.0%,5.5%,,55.5%,62.7%,65.4%
Fall 2010,,384,83.9%,75.7%,72.6%,7.0%,,61.4%,69.3%,70.3%
Fall 2011,,385,72.7%,64.2%,60.5%,5.5%,,46.5%,55.1%,56.9%
Fall 2012,,360,80.6%,70.2%,66.9%,4.4%,,52.5%,61.7%,64.4%
Fall 2013,,346,83.5%,76.6%,70.2%,6.1%,,61.0%,68.8%,71.1%
Fall 2014,,357,80.4%,73.7%,69.1%,5.0%,,58.0%,66.1%,67.5%
Fall 2015,,455,81.5%,73.2%,67.0%,7.2%,,53.2%,62.9%,64.4%
Fall 2016,,402,79.1%,64.7%,59.4%,5.5%,,48.3%,58.7%,59.2%
Fall 2017,,515,75.0%,62.9%,57.9%,6.4%,,45.8%,55.9%,57.1%
Fall 2018,,428,79.7%,67.3%,63.8%,7.5%,,48.6%,60.3%,61.4%
Fall 2019,,415,73.5%,64.1%,59.3%,9.2%,,44.6%,54.9%,
Fall 2020,,478,71.2%,60.3%,52.5%,9.8%,,38.7%,,
Fall 2021,,468,71.2%,62.3%,58.5%,,,,,
Fall 2022,,418,69.1%,62.2%,,,,,,
Fall 2023,,363,70.8%,,,,,,,
Fall 2024,,356,,,,,,,,
,,,,,,,,,,
Column,,,,,,,,,,
Average,,452,81.0%,71.4%,68.2%,5.7%,,59.4%,66.4%,68.0%
,,,,,,,,,,
,,,,,,,,,,
"Avg of
Last 3 Yrs",,,70.4%,61.6%,56.8%,8.8%,,44.0%,57.0%,59.2%
,,,,,,,,,,
,,,,,,,,,,
"NOTE:  Graduation year, for reporting purposes, consists of September, Dec, and the following May and July (July added 2024).  This is in keeping with IPEDS definitions.",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Source:  Registrar,,,,,,,,,,
"Date: September 13, 2024",,,,,,,,,,
"As of End of 10th Day (Sept. 9, 2024)",,,,,,,,,,
