FALL ENROLLMENTS 2002 - 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACADEMIC YEAR,2024-25,,2023-24,,2022-23,,2021-22,,2020-21,,2019-20,,2018-19,,2017-18,,2016-17,,2015-16,,2014-15,,2013-14,,2012-13,,2011-12,,2010-11,,2009-10,,2008-09,,2007-08,,2006-07,,2005-06,,2004-05,,2003-04,,2002-03,
,Full-Time,Part-Time,Full-Time,Part-Time,Full-Time,Part-Time,Full-Time,Part-Time,Full-Time,Part-Time,Full-Time,Part-Time,Full-Time,Part-Time,Full-Time,Part-Time,Full-Time,Part-Time,Full-Time,Part-Time,Full-Time,Part-Time,Full-Time,Part-Time,Full-Time,Part-Time,Full-Time,Part-Time,Full-Time,Part-Time,Full-Time,Part-Time,Full-Time,Part-Time,Full-Time,   Part-Time,Full-Time,Part-Time,Full-Time,Part-Time,Full-Time,Part-Time,Full-Time,Part-Time,Full-Time,Part-Time
First-Year Students,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     New High School Graduates,343,0,344,0,403,0,451,0,466,2,401,0,417,0,503,0,394,0,444,0,352,0,340,0,354,0,376,0,380,0,429,0,480,0,498,4,478,0,569,3,553,0,486,1,521,0
     New Transfer Students,10,0,11,0,13,0,12,0,18,0,5,0,7,0,16,0,25,0,15,0,14,0,8,0,8,0,20,0,6,0,15,0,2,0,13,0,10,0,7,0,10,0,11,0,5,1
     Returning On-Campus Students,15,0,21,0,28,0,46,2,22,0,25,1,26,0,12,0,17,0,3,0,3,0,11,1,11,3,3,2,11,1,8,1,10,0,13,0,7,3,1,0,8,0,6,0,12,2
TOTALS,368,0,376,0,444,0,509,2,506,2,431,1,450,0,531,0,436,0,462,0,369,0,359,1,373,3,399,2,397,1,452,1,492,0,524,4,495,3,577,3,571,0,503,1,538,3
Sophomores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     New High School Grads (w/ 6+ units),9,0,13,0,11,0,10,0,7,0,11,0,10,0,11,0,8,0,10,0,4,0,5,0,5,0,9,0,4,0,5,0,5,0,2,0,2,0,2,0,6,0,1,0,4,0
     New Transfer Students,11,0,14,0,13,0,15,0,20,0,10,0,14,0,20,0,7,0,11,0,6,0,11,0,19,0,11,0,16,0,16,0,18,0,21,0,15,0,12,0,15,0,22,0,17,0
     Returning On-Campus Students,274,1,289,2,359,1,343,1,315,1,343,1,385,0,336,0,367,0,300,0,303,0,302,2,287,0,338,0,358,1,424,1,441,1,423,0,512,1,501,0,436,1,461,2,383,2
     Off-Campus Students,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTALS,294,1,316,2,384,1,368,1,342,1,364,1,409,0,367,0,382,0,321,0,313,0,318,2,311,0,358,0,378,1,445,1,464,1,446,0,529,1,515,0,457,1,484,2,404,2
Juniors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     New High School Grads (w/ 6+ units),5,0,6,0,4,0,7,0,3,0,3,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,
     New Transfer Students,7,0,10,0,8,0,8,0,4,0,11,0,7,0,10,0,3,0,9,0,3,0,7,0,9,0,2,0,4,0,1,0,6,0,5,0,3,0,5,0,9,0,4,0,5,0
     Returning On-Campus Students,249,1,306,1,279,0,273,0,288,1,308,0,280,3,329,1,274,3,257,3,254,3,244,8,317,2,332,1,347,9,359,6,346,0,404,0,397,0,362,3,392,0,329,0,305,5
     Off-Campus Students,4,0,10,0,6,0,2,0,2,,14,0,8,0,19,0,8,0,19,0,14,0,14,0,9,0,16,0,34,0,39,0,49,0,66,0,60,1,38,0,31,0,44,0,36,0
TOTALS,265,1,332,1,297,0,290,0,297,1,336,0,296,3,359,1,285,3,286,3,272,3,266,8,327,2,334,1,385,9,399,6,401,0,475,0,460,1,405,3,432,0,377,0,346,5
Seniors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     New Transfer Students,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
     Returning On-Campus Students,356,4,301,9,297,3,320,10,339,3,306,1,340,4,288,5,276,6,277,3,275,7,314,5,337,2,398,3,396,6,395,6,462,3,443,2,403,0,415,7,360,0,313,6,293,2
     Off-Campus Students,9,0,10,0,17,0,11,0,6,,11,0,10,0,7,0,5,0,8,0,10,0,10,0,18,0,16,0,13,0,18,0,22,0,28,0,24,1,28,0,31,0,22,0,27,0
TOTALS,365,4,311,9,314,3,331,10,345,3,317,1,350,4,295,5,281,6,285,3,285,7,325,5,337,2,398,3,410,6,413,6,484,3,471,2,427,1,443,7,392,0,335,6,320,2
Non-Degree Students,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Albion High School Scholars,1,3,0,1,0,2,0,5,2,5,2,11,0,11,0,3,0,11,0,5,0,8,0,11,0,15,0,8,0,5,0,9,0,10,0,11,0,14,0,12,0,8,0,12,0,18
     Community Scholars,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,1
     Post-Graduates/Post-Grad Certificate,2,0,0,1,2,2,1,1,0,1,3,2,2,2,0,1,1,1,0,1,0,3,0,2,1,2,3,2,1,1,1,0,1,0,0,1,0,1,1,1,0,0,6,0,9,2
     Special Admits & Auditors,0,4,1,4,3,4,1,4,0,1,2,4,2,4,2,4,8,4,5,5,3,4,4,6,4,5,0,5,1,5,0,4,0,4,0,4,2,7,0,10,0,6,1,5,2,6
TOTALS,3,7,1,6,5,8,2,10,2,7,7,17,4,17,2,8,9,16,5,11,3,16,4,19,5,22,3,16,2,13,1,15,1,14,0,16,2,22,1,25,0,14,7,17,11,27
GRAND TOTALS,1295,13,1336,18,1444,12,1500,23,1492,14,1455,20,1509,24,1554,14,1393,25,1359,17,1242,26,1272,35,1353,29,1492,22,1572,30,1709,29,1842,18,1916,22,1913,28,1941,38,1852,15,1706,26,1619,39
HEADCOUNT,1308,,1354,,1456,,1523,,1506,,1475,,1533,,1568,,1418,,1376,,1268,,1307,,1382,,1514,,1602,,1738,,1860,,1938,,1941,,1979,,1867,,1732,,1658,
